,Originality,Rule.Conciousness,Openness.to.Change,Assertiveness,Social.Confidence,Empathy,Communicativeness,Independence,Rationality,Competitiveness,Concientiousness,Perfectionism,Decisiveness,Apprehension,Creativity,Agreeableness,Acheivement,Extroversion,Resilience,Status
94,4,7,4,4,6,3,5,7,3,3,5,3,4,6,5,3,3,6,5,Graduated
95,4,4,7,7,4,6,10,6,9,6,7,4,4,6,5,6,5,7,4,Graduated
96,5,4,5,4,6,8,5,5,6,4,8,6,4,8,4,7,5,5,2,Graduated
97,6,6,5,5,4,8,6,6,6,5,8,7,5,6,5,6,7,5,4,Graduated
98,4,4,4,4,5,6,10,5,3,7,7,3,3,8,3,5,5,10,2,Graduated
99,4,3,7,5,3,8,10,2,9,7,9,7,5,7,4,8,7,8,4,Graduated
100,6,4,5,4,4,8,4,5,4,6,6,6,4,7,4,6,5,5,3,Graduated
101,4,3,3,5,5,8,7,5,8,6,9,7,4,8,3,7,7,6,2,Graduated
102,4,4,4,4,3,4,4,7,4,3,6,2,2,5,4,3,2,4,4,Graduated
103,5,6,4,6,7,3,4,8,5,4,4,2,4,7,5,3,3,4,4,Graduated
104,5,6,6,4,6,7,4,6,5,6,8,7,3,7,5,6,7,5,3,Graduated
105,5,5,6,5,6,6,8,5,4,7,8,5,5,5,5,6,6,8,6,Graduated
106,6,5,5,6,9,9,10,5,6,8,8,8,4,5,5,9,8,9,4,Graduated
107,3,5,4,3,4,6,6,5,5,7,7,4,4,6,3,5,5,6,4,Graduated
108,6,6,5,5,3,4,6,7,5,4,6,2,4,6,6,3,3,5,5,Graduated
109,4,5,4,5,7,4,6,6,3,6,8,2,4,5,4,4,5,7,5,Graduated
110,5,4,4,5,6,2,6,6,4,5,7,4,3,6,4,3,4,6,5,Graduated
111,4,4,6,5,7,7,10,8,6,7,10,8,8,8,5,6,0,8,5,Graduated
112,5,5,4,5,6,7,3,3,4,3,7,4,4,6,4,7,3,5,4,Graduated
113,5,6,4,4,6,3,5,5,5,6,7,3,5,7,4,4,5,6,5,Graduated
114,5,5,5,6,3,6,4,10,8,9,8,6,7,7,6,3,9,1,5,Graduated
115,4,6,4,4,2,3,5,5,2,3,6,1,1,7,4,2,1,6,3,Graduated
